gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2863305320	ba9984d8-d982-4fe6-b81c-a7585790034a	913ce848-3921-49ee-8bc0-8bd92953b261	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae	Excultanus	Excultanus excultus		SPECIES	Excultanus excultus (Uhler, 1877)	Excultanus excultus		US	Brackenridge Field Lab General	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.286326	-97.781675	200.0						2004-10-13T00:00:00	13	10	2004	2049241	2049241	PRESERVED_SPECIMEN	UTIC	Entomology Collection	263949		Wild, Alex	2020-09-17T00:00:00	CC0_1_0		A.C. Kaufman			2021-11-23T22:06:20.725Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2863305319	ba9984d8-d982-4fe6-b81c-a7585790034a	00c773ce-6ec4-473b-9f2a-b0265961dbb6	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae	Acinopterus			GENUS	Acinopterus Van Duzee, 1892	Acinopterus		US	Brackenridge Field Lab General	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.286326	-97.781675	200.0						1987-10-02T00:00:00	2	10	1987	2036673		PRESERVED_SPECIMEN	UTIC	Entomology Collection	263953		Wild, Alex	2020-09-17T00:00:00	CC0_1_0		R Patrock			2021-11-23T22:06:22.003Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2863305318	ba9984d8-d982-4fe6-b81c-a7585790034a	01fa3e61-c065-4bc5-8a4c-8ef03d06c767	Animalia	Arthropoda	Insecta	Hemiptera	Caliscelidae	Bruchomorpha	Bruchomorpha jocosa		SPECIES	Bruchomorpha jocosa Stål, 1862	Bruchomorpha jocosa		US	Brackenridge Field Lab General	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.286326	-97.781675	200.0						2004-10-21T00:00:00	21	10	2004	2057845	2057845	PRESERVED_SPECIMEN	UTIC	Entomology Collection	263955		Quinn, M.A.	2017-01-01T00:00:00	CC0_1_0		A.C. Kaufman			2021-11-23T22:06:20.596Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2863305317	ba9984d8-d982-4fe6-b81c-a7585790034a	b759816b-8f6b-4516-9d80-aa3851fd783e	Animalia	Arthropoda	Insecta	Hemiptera	Pleidae	Neoplea			GENUS	Neoplea Esaki & China, 1928	Neoplea		US	Brackenridge Field Lab General	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.286326	-97.781675	200.0						1994-11-17T00:00:00	17	11	1994	2020540		PRESERVED_SPECIMEN	UTIC	Entomology Collection	263945		Wild, Alex	2020-09-17T00:00:00	CC0_1_0		K.C. Holston			2021-11-23T22:06:20.550Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2863305316	ba9984d8-d982-4fe6-b81c-a7585790034a	7e9c8f97-c447-4ff8-ab15-1b0363a971eb	Animalia	Arthropoda	Insecta	Diptera	Piophilidae	Prochyliza	Prochyliza xanthostoma		SPECIES	Prochyliza xanthostoma Walker, 1849	Prochyliza xanthostoma		US	Brackenridge Field Lab General	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.286326	-97.781675	200.0						2002-02-24T00:00:00	24	2	2002	1522318	1522318	PRESERVED_SPECIMEN	UTIC	Entomology Collection	263941		Wild, Alex	2020-09-15T00:00:00	CC0_1_0		J.C. Abbott			2021-11-23T22:06:21.902Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2863305315	ba9984d8-d982-4fe6-b81c-a7585790034a	5f13b13d-2962-41a8-9413-29cf040cf2b3	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae	Erasmoneura	Erasmoneura vulnerata		SPECIES	Erasmoneura vulnerata (Fitch, 1851)	Erasmoneura vulnerata		US	Brackenridge Field Lab, Pollinator Garden	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.2848	-97.7782							2020-09-17T00:00:00	17	9	2020	2042933	2042933	PRESERVED_SPECIMEN	UTIC	Entomology Collection	263966		Wild, Alex	2020-09-18T00:00:00	CC0_1_0		Alex Wild			2021-11-23T22:06:20.540Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2863305314	ba9984d8-d982-4fe6-b81c-a7585790034a	51669a84-5ad2-4205-8838-f40a0e582294	Animalia	Arthropoda	Insecta	Diptera	Piophilidae	Prochyliza	Prochyliza xanthostoma		SPECIES	Prochyliza xanthostoma Walker, 1849	Prochyliza xanthostoma		US	Brackenridge Field Lab General	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.286326	-97.781675	200.0						2002-02-24T00:00:00	24	2	2002	1522318	1522318	PRESERVED_SPECIMEN	UTIC	Entomology Collection	263943		Wild, Alex	2020-09-15T00:00:00	CC0_1_0		J.C. Abbott			2021-11-23T22:06:21.846Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2863305313	ba9984d8-d982-4fe6-b81c-a7585790034a	0ba62c92-9d66-4d59-83ab-632bf763ab76	Animalia	Arthropoda	Insecta	Hemiptera	Pleidae	Neoplea			GENUS	Neoplea Esaki & China, 1928	Neoplea		US	Brackenridge Field Lab General	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.286326	-97.781675	200.0						1994-11-17T00:00:00	17	11	1994	2020540		PRESERVED_SPECIMEN	UTIC	Entomology Collection	263944		Wild, Alex	2020-09-17T00:00:00	CC0_1_0		K.C. Holston			2021-11-23T22:06:20.431Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2863305312	ba9984d8-d982-4fe6-b81c-a7585790034a	e1e6938b-c087-4ac9-bc9f-da0b1f5a0786	Animalia	Arthropoda	Insecta	Hemiptera	Pleidae	Neoplea			GENUS	Neoplea Esaki & China, 1928	Neoplea		US	Brackenridge Field Lab General	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.286326	-97.781675	200.0						1994-11-17T00:00:00	17	11	1994	2020540		PRESERVED_SPECIMEN	UTIC	Entomology Collection	263946		Wild, Alex	2020-09-17T00:00:00	CC0_1_0		K.C. Holston			2021-11-23T22:06:20.259Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2863305311	ba9984d8-d982-4fe6-b81c-a7585790034a	65b7cc00-9f98-4ba9-ac3d-e1d91aaded82	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae	Agallia			GENUS	Agallia Curtis, 1833	Agallia		US	Brackenridge Field Lab, Pollinator Garden	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.2848	-97.7782							2020-09-17T00:00:00	17	9	2020	2032938		PRESERVED_SPECIMEN	UTIC	Entomology Collection	263963		Wild, Alex	2020-09-18T00:00:00	CC0_1_0		Alex Wild			2021-11-23T22:06:21.587Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
